smiles,gap_dft
Cc1nc2c(nc1C)c1c3c(c4sc(C=CC=CC=CC=CC=C5C(=O)c6cc7sc(Br)cc7cc6C5=C(C#N)C#N)c(C)c4n3C)n(C)c1c1c2c2c(c3sc(C=CC=CC=CC=CC=C4C(=O)c5cc6sc(Br)cc6cc5C4=C(C#N)C#N)c(C)c3n2C)n1C,1.753
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3cc(Br)c(Cl)cc3C2=C(C#N)C#N)n(C)c2c1n(C)c1c3c4nn(C)nc4c4c5c(c6c(c(C)c(C=CC=CC=CC=CC=C7C(=O)c8cc(Br)c(Cl)cc8C7=C(C#N)C#N)n6C)n5C)n(C)c4c3n(C)c21,1.728
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cscc5C4=C(C#N)C#N)c4nsnc34)s2)oc2c1oc1c2ccc2c3ccc4c5oc(-c6ccc(-c7ccc(C=C8C(=O)c9cscc9C8=C(C#N)C#N)c8nsnc78)s6)c(C)c5oc4c3c3nccnc3c21,2.189
Cc1c(C=C2C(=O)c3cc(Br)c(Br)cc3C2=C(C#N)C#N)oc2c1sc1c3c4nccnc4c4c5sc6c(C)c(C=C7C(=O)c8cc(Br)c(Br)cc8C7=C(C#N)C#N)oc6c5n(C)c4c3n(C)c21,2.354
Cc1c(C=C2C(=O)c3cscc3C2=C(C#N)C#N)oc2c1n(C)c1c3c4ccccc4c4c5c(c6oc(C=C7C(=O)c8cscc8C7=C(C#N)C#N)c(C)c6n5C)n(C)c4c3n(C)c21,2.053
Cc1c(C=C2C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)n(C)c2c1n(C)c1c3c4ccccc4c4c5c(c6c(c(C)c(C=C7C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)n6C)n5C)n(C)c4c3n(C)c21,2.079
Cc1nc2c(nc1C)c1c3oc4c(C)c(C=CC=CC=CC=CC=C5C(=O)c6cc7sccc7cc6C5=C(C#N)C#N)oc4c3sc1c1sc3c4oc(C=CC=CC=CC=CC=C5C(=O)c6cc7sccc7cc6C5=C(C#N)C#N)c(C)c4oc3c21,1.995
Cc1nc2c(nc1C)c1c(oc3c4sc(-c5ccc(-c6ccc(C=C7C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)[nH]6)c6nsnc56)c(C)c4n(C)c31)c1oc3c4sc(-c5ccc(-c6ccc(C=C7C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)[nH]6)c6nsnc56)c(C)c4n(C)c3c21,2.143
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4c(Cl)cc(Br)cc4C3=C(C#N)C#N)[nH]2)n(C)c2c1n(C)c1c3c4nccnc4c4c5c(c6c(c(C)c(-c7ccc(C=CC=CC=C8C(=O)c9c(Cl)cc(Br)cc9C8=C(C#N)C#N)[nH]7)n6C)n5C)n(C)c4c3n(C)c21,1.56
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4c(csc4Cl)C3=C(C#N)C#N)c3nsnc23)oc2c1sc1c2ccc2c3ccc4c5oc(C=CC=Cc6ccc(C=C7C(=O)c8c(csc8Cl)C7=C(C#N)C#N)c7nsnc67)c(C)c5sc4c3c3nonc3c21,1.939
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4c(Cl)cc(Br)cc4C3=C(C#N)C#N)s2)sc2c3sc4c5sc6c7sc(C=CC=Cc8ccc(C=C9C(=O)c%10c(Cl)cc(Br)cc%10C9=C(C#N)C#N)s8)c(C)c7n(C)c6c5c(F)c(F)c4c3n(C)c12,2.015
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3c(Cl)cc(Br)cc3C2=C(C#N)C#N)oc2c1oc1c3c4nn(C)nc4c4c5oc6c(C)c(C=CC=CC=CC=CC=C7C(=O)c8c(Cl)cc(Br)cc8C7=C(C#N)C#N)oc6c5n(C)c4c3n(C)c21,1.848
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)ccc2c1sc1c2sc2c3sc4c5ccc(C=CC=CC=CC=CC=C6C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)c(C)c5sc4c3c3ccccc3c12,2.292
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3cc(Br)c(Br)cc3C2=C(C#N)C#N)sc2c1sc1c2sc2c3sc4c5sc(C=CC=CC=CC=CC=C6C(=O)c7cc(Br)c(Br)cc7C6=C(C#N)C#N)c(C)c5sc4c3c3nsnc3c12,2.077
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cscc4C3=C(C#N)C#N)[nH]2)n(C)c2c1sc1c2sc2c3sc4c(sc5c(C)c(-c6ccc(C=CC=CC=C7C(=O)c8cscc8C7=C(C#N)C#N)[nH]6)n(C)c54)c3c3nonc3c21,1.776
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)s3)[nH]2)n(C)c2c1oc1c2oc2c3oc4c(oc5c(C)c(-c6ccc(-c7ccc(C=C8C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)s7)[nH]6)n(C)c54)c3c3ccccc3c21,1.988
Cc1nc2c(nc1C)c1c3c(c4ccc(C=CC=CC=CC=CC=C5C(=O)c6cscc6C5=C(C#N)C#N)c(C)c4n3C)n(C)c1c1c2c2c(c3ccc(C=CC=CC=CC=CC=C4C(=O)c5cscc5C4=C(C#N)C#N)c(C)c3n2C)n1C,2.201
Cc1c(-c2ccc(C=C3C(=O)c4c(csc4Cl)C3=C(C#N)C#N)c3nsnc23)n(C)c2c3oc4c5oc6c7c(c(C)c(-c8ccc(C=C9C(=O)c%10c(csc%10Cl)C9=C(C#N)C#N)c9nsnc89)n7C)n(C)c6c5c5nccnc5c4c3n(C)c12,1.852
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc5sccc5cc4C3=C(C#N)C#N)c3nsnc23)n(C)c2c3sc4c5sc6c7c(c(C)c(C=CC=Cc8ccc(C=C9C(=O)c%10cc%11sccc%11cc%10C9=C(C#N)C#N)c9nsnc89)n7C)n(C)c6c5c5nsnc5c4c3n(C)c12,1.605
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc6sccc6cc5C4=C(C#N)C#N)[nH]3)[nH]2)ccc2c1cnc1c2oc2c3oc4c5ccc(-c6ccc(-c7ccc(C=C8C(=O)c9cc%10sccc%10cc9C8=C(C#N)C#N)[nH]7)[nH]6)c(C)c5cnc4c3c3nonc3c12,2.61
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4c(Cl)cc(Br)cc4C3=C(C#N)C#N)c3nsnc23)n(C)c2c3ccc4c5ccc6c7c(c(C)c(-c8ccc(C=CC=CC=C9C(=O)c%10c(Cl)cc(Br)cc%10C9=C(C#N)C#N)c9nsnc89)n7C)n(C)c6c5c5nonc5c4c3n(C)c12,2.086
Cc1nc2c(nc1C)c1c(ccc3c4oc(-c5ccc(-c6ccc(C=C7C(=O)c8cc(Cl)c(Br)cc8C7=C(C#N)C#N)s6)[nH]5)c(C)c4sc31)c1ccc3c4oc(-c5ccc(-c6ccc(C=C7C(=O)c8cc(Cl)c(Br)cc8C7=C(C#N)C#N)s6)[nH]5)c(C)c4sc3c12,2.295
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc(Cl)c(Cl)cc4C3=C(C#N)C#N)[nH]2)ncc2c1cnc1c2sc2c3sc4c5cnc(C=CC=Cc6ccc(C=C7C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)[nH]6)c(C)c5cnc4c3c3nn(C)nc3c12,2.488
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)ncc2c1n(C)c1c3c(F)c(F)c4c5c(c6cnc(C=CC=CC=CC=CC=C7C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)c(C)c6n5C)n(C)c4c3n(C)c21,2.206
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Br)c(Cl)cc5C4=C(C#N)C#N)c4nsnc34)s2)oc2c1sc1c2sc2c3sc4c5oc(-c6ccc(-c7ccc(C=C8C(=O)c9cc(Br)c(Cl)cc9C8=C(C#N)C#N)c8nsnc78)s6)c(C)c5sc4c3c3nonc3c12,2.129
Cc1nc2c(nc1C)c1c3sc4c(C)c(C=C5C(=O)c6c(csc6Cl)C5=C(C#N)C#N)n(C)c4c3n(C)c1c1c2c2sc3c(C)c(C=C4C(=O)c5c(csc5Cl)C4=C(C#N)C#N)n(C)c3c2n1C,2.224
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3cc(C(F)(F)F)ccc3C2=C(C#N)C#N)oc2c3sc4c5sc6c7oc(C=CC=CC=CC=CC=C8C(=O)c9cc(C(F)(F)F)ccc9C8=C(C#N)C#N)c(C)c7n(C)c6c5c(F)c(F)c4c3n(C)c12,1.675
Cc1nc2c(nc1C)c1c3oc4c(C)c(C=CC=CC=CC=CC=C5C(=O)c6c(csc6Cl)C5=C(C#N)C#N)sc4c3sc1c1sc3c(oc4c(C)c(C=CC=CC=CC=CC=C5C(=O)c6c(csc6Cl)C5=C(C#N)C#N)sc43)c21,1.974
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Br)c(Br)cc5C4=C(C#N)C#N)s3)s2)oc2c1oc1c2ccc2c3ccc4c5oc(-c6ccc(-c7ccc(C=C8C(=O)c9cc(Br)c(Br)cc9C8=C(C#N)C#N)s7)s6)c(C)c5oc4c3c(F)c(F)c21,2.353
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2)sc2c1oc1c2oc2c3oc4c(oc5c(C)c(C=CC=Cc6ccc(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)cc6)sc54)c3c(F)c(F)c12,2.415
Cc1c(C=CC=CC=CC=CC=C2C(=O)c3cc(Br)c(Br)cc3C2=C(C#N)C#N)cnc2c1ccc1c2cnc2c3ncc4c(ccc5c(C)c(C=CC=CC=CC=CC=C6C(=O)c7cc(Br)c(Br)cc7C6=C(C#N)C#N)cnc54)c3c(F)c(F)c12,2.246
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(Cl)c(Cl)cc4C3=C(C#N)C#N)s2)sc2c1ncc1c2sc2c3sc4c(cnc5c(C)c(-c6ccc(C=CC=CC=C7C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)s6)sc54)c3c3nccnc3c12,2.293
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cscc5C4=C(C#N)C#N)s3)[nH]2)sc2c3sc4c5sc6c7sc(-c8ccc(-c9ccc(C=C%10C(=O)c%11cscc%11C%10=C(C#N)C#N)s9)[nH]8)c(C)c7n(C)c6c5c5nccnc5c4c3n(C)c12,2.245
